"vacancy_id","search_text","name","employer_name","area_name","published_date","experience_name","schedule_name","salary_avg","salary_currency"
"131144601","data analyst","Старший финансовый контролер (Заместитель финансового директора)","Брайтис","Москва","2026-03-11","Более 6 лет","Полный день",NULL,NULL
"131119518","data analyst","Директор по маркетингу (СМО)","РАТА НЬЮС","Москва","2026-03-11","От 3 до 6 лет","Полный день",NULL,NULL
"131105755","data analyst","Junior Data Engineer (Analyst)","ЭВОТЕК ЦЕНТРАЛЬНАЯ АЗИЯ (Evotech CA)","Алматы","2026-03-11","От 1 года до 3 лет","Полный день","350000","KZT"
"131135387","data analyst","UX/UI-дизайнер","Абаскулиева Елена Рафаиловна","Санкт-Петербург","2026-03-11","От 1 года до 3 лет","Удаленная работа","120000","RUR"
"131087188","data analyst","Промо аналитик","Группа Компаний Аскона","Воронеж","2026-03-10","От 1 года до 3 лет","Удаленная работа","150000","RUR"
"131083316","data analyst","Product Marketing Manager","Okko","Москва","2026-03-10","От 1 года до 3 лет","Полный день",NULL,NULL
"131125721","data analyst","Системный аналитик","Столото","Москва","2026-03-11","От 1 года до 3 лет","Полный день",NULL,NULL
"131134036","data analyst","Главный специалист Департамента Маркетингового анализа (Data Science / Data Analytics)","Банк Развития Казахстана","Астана","2026-03-11","От 1 года до 3 лет","Полный день",NULL,NULL
"131135839","data analyst","Data Business Analyst / Product Analyst","Tele2/Altel","Алматы","2026-03-11","От 1 года до 3 лет","Полный день",NULL,NULL
"131120280","data analyst","Data Аналитик","Bereke Bank","Алматы","2026-03-11","От 1 года до 3 лет","Полный день",NULL,NULL
"131131569","data analyst","Аналитик данных","Emphasoft","Санкт-Петербург","2026-03-11","От 1 года до 3 лет","Удаленная работа",NULL,NULL
"131100220","data analyst","Системный аналитик","Столото","Москва","2026-03-10","От 1 года до 3 лет","Полный день",NULL,NULL
"131082244","data analyst","Аналитик данных / Data Analyst","Лаборатория Касперского","Москва","2026-03-10","От 1 года до 3 лет","Полный день",NULL,NULL
"131127630","data analyst","Ручной инженер-тестировщик ML (middle/middle+)","Koronatech","Новосибирск","2026-03-11","От 1 года до 3 лет","Удаленная работа",NULL,NULL
"131115534","data analyst","Аналитик-исследователь","Электронная торговая площадка Газпромбанка","Москва","2026-03-11","От 1 года до 3 лет","Полный день",NULL,NULL
"131135723","data analyst","DWH Analyst | Аналитик DWH","AliExpress","Москва","2026-03-11","От 1 года до 3 лет","Удаленная работа",NULL,NULL
"131087234","data analyst","Руководитель отдела аналитики","Адвирос","Москва","2026-03-10","От 3 до 6 лет","Полный день","450000","RUR"
"130990635","data analyst","Дата аналитик (Junior)","CLICK","Ташкент","2026-03-05","От 1 года до 3 лет","Полный день",NULL,NULL
"131135662","data analyst","Младший бизнес - аналитик","Utrace","Москва","2026-03-11","Нет опыта","Удаленная работа",NULL,NULL
"131150691","data analyst","Chief Marketing Officer","Unico","Алматы","2026-03-12","Более 6 лет","Полный день",NULL,NULL
"131068392","data analyst","Data аналитик","UNITEL LLC","Ташкент","2026-03-10","От 1 года до 3 лет","Полный день",NULL,NULL
"131081366","data analyst","BI разработчик (Аналитик данных)","ПРАВОКАРД - мультисервисная платформа","Москва","2026-03-10","От 1 года до 3 лет","Полный день",NULL,NULL
"131040259","data analyst","Тестировщик QA","TIQUM","Москва","2026-03-06","От 3 до 6 лет","Удаленная работа",NULL,NULL
"131086061","data analyst","Ассистент руководителя/офис-менеджер","Кронос-М","Астана","2026-03-10","Нет опыта","Полный день","400000.000000000000","KZT"
"131100359","data analyst","Аналитик данных/Data Analyst","RIS group","Москва","2026-03-10","От 3 до 6 лет","Удаленная работа",NULL,NULL
"131148791","data analyst","Менеджер по продажам","SELDON","Самара","2026-03-12","Нет опыта","Полный день","115250.000000000000","RUR"
"131002675","data analyst","Руководитель группы по привлечению талантов","«Филип Моррис Интернэшнл» в России","Москва","2026-03-05","От 3 до 6 лет","Полный день",NULL,NULL
"131129529","data analyst","Data analyst","Лоция","Санкт-Петербург","2026-03-11","От 1 года до 3 лет","Полный день",NULL,NULL
"131079389","data analyst","Product owner","S7 Group","Москва","2026-03-10","От 3 до 6 лет","Полный день",NULL,NULL
"131075310","data analyst","Аналитик данных","VOXYS","Москва","2026-03-10","От 1 года до 3 лет","Удаленная работа","155000.000000000000","RUR"
"131007092","data analyst","Тестировщик (продукт «Фактор»)","HFLabs","Москва","2026-03-11","От 1 года до 3 лет","Удаленная работа","165000.000000000000","RUR"
"131109132","data analyst","Аналитик-математик / Data Scientist","AppMagic","Москва","2026-03-11","От 1 года до 3 лет","Удаленная работа",NULL,NULL
"131140263","data analyst","Финансовый менеджер","GlowByte","Москва","2026-03-11","От 3 до 6 лет","Полный день",NULL,NULL
"130980230","data analyst","Junior Data Analyst","Sputnik8","Санкт-Петербург","2026-03-04","Нет опыта","Полный день",NULL,NULL
"130577090","data analyst","Младший аналитик данных","Панина Анастасия Александровна","Москва","2026-02-18","Нет опыта","Удаленная работа","80000","RUR"
"130662912","data analyst","Менеджер по работе с маркетплейсами","Левин Дмитрий Сергеевич","Москва","2026-03-09","От 1 года до 3 лет","Удаленная работа","120000","RUR"
"131125736","data engineer","IT Product Owner / IT Product Manager (IT-продакт оунер / IT-продакт менеджер)","DIONYSOS","Ташкент","2026-03-11","Нет опыта","Полный день","16000000","UZS"
"131077469","data analyst","Контент-менеджер","ВкусВилл","Москва","2026-03-10","От 1 года до 3 лет","Удаленная работа","150000","RUR"
"130579242","data analyst","Data Analyst / Аналитик данных (криптосфера)","Токентех","Москва","2026-02-18","От 3 до 6 лет","Удаленная работа",NULL,NULL
"131065618","data analyst","Java-разработчик","ВЫСОКИЕ ТЕХНОЛОГИИ ДЛЯ БИЗНЕСА","Оренбург","2026-03-10","Нет опыта","Удаленная работа",NULL,NULL
"131114563","data analyst","Менеджер по обучению и развитию персонала (L&D Manager)","ANCOR","Москва","2026-03-11","От 3 до 6 лет","Полный день",NULL,NULL
"130986262","data analyst","Java разработчик (Микросервисы / Fintech)","DCloud","Санкт-Петербург","2026-03-05","От 3 до 6 лет","Удаленная работа","250000","RUR"
"131128298","data analyst","Software Engineer (Middle)","Кэтлоджик","Минск","2026-03-11","От 1 года до 3 лет","Удаленная работа","1900.0000000000000000","USD"
"130986261","data analyst","Backend-разработчик высоконагруженных систем (Java 21)","DCloud","Москва","2026-03-05","От 3 до 6 лет","Удаленная работа","250000","RUR"
"131044587","data analyst","Дата-инженер (Data Engineer)","БорисХоф","Москва","2026-03-07","От 1 года до 3 лет","Полный день","250000","RUR"
"131111122","data analyst","Senior BI/Data аналитик","Хогвартс маркетплейсов","Москва","2026-03-11","От 3 до 6 лет","Удаленная работа","375000.000000000000","RUR"
"131101664","data analyst","Middle Data Software Engineer","Marfatech","Москва","2026-03-10","От 1 года до 3 лет","Удаленная работа",NULL,NULL
"131123402","data analyst","Инженер геоданных (Geo Data Engineer /GIS Data Engineer)","БАРЛ НПК","Москва","2026-03-11","От 1 года до 3 лет","Полный день",NULL,NULL
"131134048","data analyst","Ведущий специалист по казначейству и банковскому сопровождению","E-PROMO","Санкт-Петербург","2026-03-11","От 3 до 6 лет","Полный день",NULL,NULL
"130299043","data analyst","Стажер дата/BI аналитик","Циан","Москва","2026-03-04","Нет опыта","Удаленная работа","100000.000000000000","RUR"
"130684338","data analyst","Backend-разработчик","НИИ Восход","Москва","2026-03-05","От 3 до 6 лет","Удаленная работа",NULL,NULL
"131038870","data analyst","Middle backend developer / Python специалист","Brandquad","Москва","2026-03-06","От 3 до 6 лет","Удаленная работа",NULL,NULL
"131028726","data analyst","Аналитик данных","RDP.RU","Москва","2026-03-06","От 1 года до 3 лет","Удаленная работа",NULL,NULL
"130479160","data analyst","Ведущий аналитик","ГК Орбита","Москва","2026-02-25","От 3 до 6 лет","Полный день",NULL,NULL
"130630485","data analyst","Системный аналитик (Медтех / AI для медицины)","Коркина Анастасия Игоревна","Москва","2026-02-20","От 1 года до 3 лет","Удаленная работа","150000","RUR"
"131112523","data analyst","Директор по маркетингу","MEDIA KONKORD","Ташкент","2026-03-11","Более 6 лет","Полный день","2500","USD"
"130580254","data analyst","Начинающий аналитик","Межрегиональное Управление Федерального Казначейства по Централизованной Обработке Данных","Москва","2026-02-18","Нет опыта","Полный день","50000","RUR"
"131135512","data analyst","Аналитик данных ТЕРМОЛЭНД","TERMOLAND","Москва","2026-03-11","От 3 до 6 лет","Полный день",NULL,NULL
"130971595","data analyst","Frontend-разработчик (Data-продукты)","АТОЛ, группа компаний","Москва","2026-03-04","От 3 до 6 лет","Полный день",NULL,NULL
"131120943","data analyst","Системный аналитик (СберТаргет)","ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ","Москва","2026-03-11","От 1 года до 3 лет","Полный день",NULL,NULL
"130902448","data analyst","BI-аналитик (Power BI)","Мейк Биз","Москва","2026-03-02","От 1 года до 3 лет","Удаленная работа","80000.000000000000","RUR"
"131123833","data analyst","Analitik (Business / Data Analyst)","VISAGE ELECTRIC","Ташкент","2026-03-11","От 1 года до 3 лет","Полный день","9000000.000000000000","UZS"
"131056714","data analyst","Middle Data Engineer","Marfatech","Москва","2026-03-09","От 1 года до 3 лет","Удаленная работа",NULL,NULL
"131086745","data analyst","Аналитик","Corporate Performance Systems","Москва","2026-03-10","От 1 года до 3 лет","Удаленная работа",NULL,NULL
"130739264","data engineer","Junior Infrastructure Engineer","Servers.com","Сербия","2026-03-12","Нет опыта","Полный день",NULL,NULL
"130782740","data analyst","Разработчик Java Backend-приложений платёжного контура GUI (в банк)","Сателл ИТ","Москва","2026-03-10","От 3 до 6 лет","Удаленная работа","365000.000000000000","RUR"
"131118606","data analyst","Аналитик данных (дата инженер/data scientist)","Diamond Personnel R&C","Москва","2026-03-11","От 3 до 6 лет","Полный день",NULL,NULL
"130379791","data analyst","Аналитик данных","STRATERA","Астана","2026-02-12","От 1 года до 3 лет","Полный день","800000.000000000000","KZT"
"131086904","data analyst","Маркетолог - аналитик","БАРКЛИ","Москва","2026-03-10","От 1 года до 3 лет","Полный день","200000","RUR"
"131069395","data analyst","Python-разработчик","Московский метрополитен","Москва","2026-03-10","От 1 года до 3 лет","Полный день",NULL,NULL
"131013851","data analyst","Младший ML-инженер (Data Scientist)","ОптималФлоу Групп","Москва","2026-03-05","Нет опыта","Удаленная работа",NULL,NULL
"130658343","data analyst","Системный аналитик","Мир технологий","Казань","2026-02-21","От 1 года до 3 лет","Удаленная работа","125000.000000000000","RUR"
"131021026","data analyst","Java-разработчик","Bell Integrator Регионы","Москва","2026-03-06","От 3 до 6 лет","Удаленная работа",NULL,NULL
"130925618","data analyst","Стажер Data-аналитик","T2","Москва","2026-03-03","Нет опыта","Гибкий график",NULL,NULL
"131127046","data analyst","Аналитик данных","UNIVERSAL TECH DECISIONS","Алматы","2026-03-11","От 1 года до 3 лет","Полный день","350000.000000000000","KZT"
"131127019","data analyst","Marketing Data Analyst","Топассистент","Москва","2026-03-11","От 1 года до 3 лет","Полный день","400000","RUR"
"128966075","data analyst","Frontend-разработчик","АПТЕКИ ВАША № 1","Москва","2026-02-19","От 1 года до 3 лет","Полный день",NULL,NULL
"130445802","data analyst","Бизнес-аналитик / Системный аналитик","Эксплориум Лабс","Казань","2026-02-13","От 1 года до 3 лет","Полный день",NULL,NULL
"131085037","data analyst","Разработчик Департамента Data-аналитики и сопровождения","Финансовый центр","Астана","2026-03-10","От 3 до 6 лет","Полный день","800000.000000000000","KZT"
"131154117","data analyst","Руководитель IT проекта (Блок B2B продаж)","ЛУКОЙЛ","Москва","2026-03-12","Более 6 лет","Полный день",NULL,NULL
"130784215","data analyst","QA-инженер","Utrace","Москва","2026-02-26","От 1 года до 3 лет","Удаленная работа",NULL,NULL
"130733359","data analyst","Стажёр в отдел аналитики данных","Tefal","Москва","2026-02-25","Нет опыта","Полный день",NULL,NULL
"131112576","data analyst","Senior Аналитик DWH (регуляторика)","Мокка","Москва","2026-03-11","От 3 до 6 лет","Удаленная работа",NULL,NULL
